Start of debug log: Mon, 25 Nov 2024 11:28:27 GMT
Format: [Timestamp] Message

[Tue, 26 Nov 2024 03:46:47 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 04:34:19 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 04:46:09 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 04:47:27 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 04:49:09 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 04:49:43 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 04:53:09 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 04:53:51 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 04:55:08 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:01:10 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:01:44 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:02:02 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:03:34 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:03:35 GMT] Added song (pU45rwl4lJw).

[Tue, 26 Nov 2024 05:03:39 GMT] Created buffer file (./src/temp/pU45rwl4lJw-temp_audio.pcm) for song (pU45rwl4lJw).

[Tue, 26 Nov 2024 05:08:07 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 05:08:19 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:08:30 GMT] Added song (fYRIBocQoq8).

[Tue, 26 Nov 2024 05:11:11 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:11:56 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:12:01 GMT] Created buffer file (./src/temp/fYRIBocQoq8-temp_audio.pcm) for song (fYRIBocQoq8).

[Tue, 26 Nov 2024 05:12:01 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 05:12:01 GMT] Audio is now playing!

[Tue, 26 Nov 2024 05:14:21 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 05:15:07 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 05:32:47 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 05:32:49 GMT] Added song (C7cczTyQ4iY).

